Date Added,Contact Name,Company,Role,Company Type,Location,Website,Email,Lead Source,Fit Score,Gap / Angle,Email Status,Follow-up Stage,Reply Status,Meeting Booked,Notes
2026-06-18,(founder n/a),Illucus,Founder/Owner,Creative Marketing Agency,"Bengaluru, IN",illucus.com,info@illucus.com,Google Maps,7,"Creative shop reliant on referrals -> target dull-brand / funded-no-creative",Drafted,None,No Reply,No,"4.9(168), 'Oh was that even possible?'. Draft in Gmail."
2026-06-18,Neha,Digital Spider,Founder/Owner,Digital Marketing + Web Design,"Bengaluru, IN",digitalspider.in,neha.digitalspider@gmail.com,Google Maps,6,"Web design + mktg -> local biz w/ outdated/slow site (weak hook, personal gmail)",Drafted,None,No Reply,No,"4.8(226). Addressed Neha. Draft in Gmail."
2026-06-18,(founder n/a),Site Invention,Founder/Owner,Web Design Agency,"Mumbai, IN",siteinvention.com,info@siteinvention.com,Google Maps,8,"ISO+Google certified shop -> find Mumbai SMBs with outdated/no site before they go elsewhere",Drafted,None,No Reply,No,"4.9(388), ISO+MSME certified. Draft in Gmail."
2026-06-18,(founder n/a),Syspree,Founder/Owner,Digital Marketing + Web Design Agency,"Mumbai, IN",syspree.com,info@syspree.com,Google Maps,9,"Multi-vertical (FMCG/sports/immigration) -> Flowfiy targets each niche by condition for them",Drafted,None,No Reply,No,"4.9(201), 20+ countries, industry-specific case studies. Draft in Gmail."
2026-06-18,(founder n/a),Devki Infotech,Founder/Owner,Web Design Agency,"Mumbai, IN",devkiinfotech.com,enquiry@devkiinfotech.com,Google Maps,8,"Since 2010, 2024 award-winning -> find dated-site Mumbai businesses before competitor does",Drafted,None,No Reply,No,"4.8(222), trusted since 2010. Draft in Gmail."
2026-06-18,(founder n/a),Sagar Tech,Founder/Owner,Web + App Development Agency,"Mumbai, IN",sagartech.co.in,info@sagartech.co.in,Google Maps,8,"Mumbai+Dubai+Canada+Houston offices -> Flowfiy fills each market's pipeline by condition",Drafted,None,No Reply,No,"5.0(154), founded 2018, international. Draft in Gmail."
2026-06-18,(founder n/a),Kwebmaker,Founder/Owner,Digital Marketing + Web Design Agency,"Mumbai, IN",kwebmaker.com,hello@kwebmaker.com,Google Maps,8,"8 global offices (Brazil/Singapore/Japan etc) -> condition prospecting per market",Drafted,None,No Reply,No,"4.7(117), 8 international offices. Draft in Gmail."
2026-06-18,(founder n/a),Indiabizline,Founder/Owner,Web Design + Multi-service Agency,"Mumbai, IN",indiabizline.com,sales@indiabizline.com,Google Maps,7,"Full-stack Mumbai agency (web/SEO/social/mobile) -> find Mumbai businesses weak across any channel",Drafted,None,No Reply,No,"4.8(135), Mumbai-local focus. Draft in Gmail."
2026-06-18,(founder n/a),Buzzlink Studios,Founder/Owner,Web Design Agency,"Mumbai, IN",buzzlinkstudios.com,hello@buzzlinkstudios.com,Google Maps,8,"Mumbai+Nashik+USA, Clutch 5/5 -> fill each location pipeline with outdated-site prospects",Drafted,None,No Reply,No,"4.9(77), Clutch 5/5. Draft in Gmail."
2026-06-18,(founder n/a),JWebMaker,Founder/Owner,Web Design Agency,"Mumbai, IN",jwebmaker.com,sales@jwebmaker.com,Google Maps,8,"250+ websites since 2015, multi-continent -> Flowfiy finds next batch by condition",Drafted,None,No Reply,No,"4.8(115), 250+ sites delivered. Draft in Gmail."
2026-06-18,(founder n/a),Web Bird,Founder/Owner,Web Design Agency,"Mumbai, IN",webbird.in,sales@webbird.in,Google Maps,9,"DLF/Adani/Piramal clients -> mid-market pipeline gap; condition targeting for real estate/D2C",Drafted,None,No Reply,No,"5.0(215), 300+ websites, enterprise clients. Draft in Gmail."
2026-06-18,(founder n/a),Vipul Pore and Company,Founder/Owner,Web Design Agency,"Mumbai, IN",vipulpore.com,vipulpore25@gmail.com,Google Maps,6,"Shopify/WP ecommerce niche - email is personal gmail, skip for now",Not Sent,None,No Reply,No,"SKIPPED: personal gmail address not suitable for cold outreach."
2026-06-18,(founder n/a),Rohido Media,Founder/Owner,Ecommerce Web + Digital Marketing Agency,"Mumbai, IN",rohido.com,,Google Maps,7,"Ecommerce + digital marketing - could not confirm public email",Not Sent,None,No Reply,No,"SKIPPED: no public email found on contact page."
